ID,Value,Source
bash1264-GB094,0,Poppe (1964:91)
bash1264-GB095,?,Yuldashev (1981:139)
bash1264-GB096,?,Poppe (1964:1-100)
bash1264-GB098,?,Poppe (1964:1-100)
bash1264-GB099,?,Poppe (1964:1-100)
bash1264-GB103,0,Poppe (1964:1-100)
bash1264-GB104,0,Poppe (1964:1-100)
bash1264-GB105,0,Poppe (1964:36-37)
bash1264-GB107,1,Poppe (1964:94-95)
bash1264-GB108,?,Poppe (1964:1-100)
bash1264-GB109,?,Poppe (1964:1-100)
bash1264-GB110,?,Poppe (1964:1-100)
bash1264-GB111,?,Poppe (1964:1-100)
bash1264-GB113,1,Yuldashev (1981:254)
bash1264-GB114,1,Yuldashev (1997: 211)
bash1264-GB115,1,Yuldashev (1997: 211)
bash1264-GB116,0,Poppe (1964:1-100)
bash1264-GB117,1,Poppe (1964:86-87); Dmitriev (1948:51)
bash1264-GB118,?,Poppe (1964:1-100)
bash1264-GB119,1,Yuldashev (1997: 212)
bash1264-GB120,1,Yuldashev (1997: 212)
bash1264-GB121,0,Poppe (1964:45-52)
bash1264-GB122,?,Poppe (1964:1-100)
bash1264-GB123,?,Poppe (1964:1-100)
bash1264-GB124,0,Poppe (1964:1-100)
bash1264-GB126,1,Dmitriev (1948:59-60)
bash1264-GB127,?,Poppe (1964:1-100)
bash1264-GB129,0,Poppe (1964:1-100)
bash1264-GB131,0,Poppe (1964:94)
bash1264-GB132,0,Poppe (1964:94)
bash1264-GB133,1,Poppe (1964:94)
bash1264-GB134,1,Poppe (1964:94)
bash1264-GB135,?,Poppe (1964:1-100)
bash1264-GB136,?,Poppe (1964:1-100)
bash1264-GB137,1,Poppe (1964:94-95)
bash1264-GB138,0,Poppe (1964:94-95)
bash1264-GB139,0,Poppe (1964:94-95)
bash1264-GB140,0,Poppe (1964:88); Dmitriev (1948:59-60)
bash1264-GB146,?,Poppe (1964:1-100)
bash1264-GB147,1,Poppe (1964:69)
bash1264-GB148,0,Poppe (1964:1-100)
bash1264-GB149,0,Poppe (1964:1-100)
bash1264-GB150,1,Poppe (1964:1-100)
bash1264-GB151,0,Poppe (1964:1-100)
bash1264-GB152,1,Poppe (1964:53)
bash1264-GB155,1,Yuldashev (1981:254-262)
bash1264-GB156,0,Yuldashev (1981:254-262)
bash1264-GB158,?,Yuldashev (1997: 210)
bash1264-GB159,?,Yuldashev (1997: 210)
bash1264-GB160,1,Yuldashev (1997: 210); Yuldashev (1981:202-203)
bash1264-GB165,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB166,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB167,0,Yuldashev (1997: 211); Yuldashev (1981:134)
bash1264-GB170,0,Poppe (1964:1-100)
bash1264-GB171,0,Poppe (1964:43)
bash1264-GB172,0,Poppe (1964:1-100)
bash1264-GB177,0,Poppe (1964:1-100)
bash1264-GB184,0,Yuldashev (1981:169)
bash1264-GB185,0,Yuldashev (1981:155)
bash1264-GB186,0,Poppe (1964:1-100)
bash1264-GB187,1,Poppe (1964:62)
bash1264-GB188,?,Poppe (1964:1-100)
bash1264-GB192,0,Poppe (1964:1-100)
bash1264-GB196,0,Yuldashev (1981:134)
